[INFO] [1777011571.242975278] [perception_node]: Perception node started
[INFO] [1777011579.236687767] [perception_node]: left=0.31, front=0.28, right=inf, camera_detected=True, camera_pos=center, red_ratio=0.083 -> front_blocked_turn_right_camera_object_center
[INFO] [1777011579.339244419] [perception_node]: left=0.21, front=0.26, right=inf, camera_detected=True, camera_pos=center, red_ratio=0.083 -> front_blocked_turn_right_camera_object_center
[INFO] [1777011579.437708103] [perception_node]: left=0.21, front=0.27, right=inf, camera_detected=True, camera_pos=center, red_ratio=0.083 -> front_blocked_turn_right_camera_object_center
[INFO] [1777011579.536750738] [perception_node]: left=0.27, front=0.36, right=inf, camera_detected=True, camera_pos=center, red_ratio=0.083 -> front_blocked_turn_right_camera_object_center
[INFO] [1777011579.643588732] [perception_node]: left=0.26, front=0.40, right=inf, camera_detected=True, camera_pos=center, red_ratio=0.083 -> front_blocked_turn_right_camera_object_center
[INFO] [1777011579.737284018] [perception_node]: left=0.21, front=0.24, right=inf, camera_detected=True, camera_pos=center, red_ratio=0.083 -> front_blocked_turn_right_camera_object_center
[INFO] [1777011579.836472099] [perception_node]: left=0.24, front=0.32, right=inf, camera_detected=True, camera_pos=center, red_ratio=0.083 -> front_blocked_turn_right_camera_object_center
[INFO] [1777011579.939523823] [perception_node]: left=0.30, front=0.26, right=inf, camera_detected=True, camera_pos=center, red_ratio=0.083 -> front_blocked_turn_right_camera_object_center
[INFO] [1777011580.038797083] [perception_node]: left=0.23, front=0.50, right=inf, camera_detected=True, camera_pos=center, red_ratio=0.083 -> front_blocked_turn_right_camera_object_center
[INFO] [1777011580.136732807] [perception_node]: left=0.23, front=0.22, right=inf, camera_detected=True, camera_pos=center, red_ratio=0.083 -> front_blocked_turn_right_camera_object_center
[INFO] [1777011580.236901519] [perception_node]: left=0.28, front=0.42, right=inf, camera_detected=True, camera_pos=center, red_ratio=0.083 -> front_blocked_turn_right_camera_object_center
[INFO] [1777011580.337447797] [perception_node]: left=0.21, front=0.38, right=inf, camera_detected=True, camera_pos=center, red_ratio=0.083 -> front_blocked_turn_right_camera_object_center
[INFO] [1777011580.439800737] [perception_node]: left=0.32, front=0.20, right=inf, camera_detected=True, camera_pos=center, red_ratio=0.083 -> front_blocked_turn_right_camera_object_center
[INFO] [1777011580.536884923] [perception_node]: left=0.27, front=0.97, right=inf, camera_detected=True, camera_pos=center, red_ratio=0.083 -> front_blocked_turn_right_camera_object_center
[INFO] [1777011580.638021738] [perception_node]: left=0.36, front=0.22, right=inf, camera_detected=True, camera_pos=center, red_ratio=0.083 -> front_blocked_turn_right_camera_object_center
[INFO] [1777011580.737280253] [perception_node]: left=0.28, front=0.51, right=inf, camera_detected=True, camera_pos=center, red_ratio=0.083 -> front_blocked_turn_right_camera_object_center
[INFO] [1777011580.837939825] [perception_node]: left=0.25, front=0.49, right=inf, camera_detected=True, camera_pos=center, red_ratio=0.083 -> front_blocked_turn_right_camera_object_center
[INFO] [1777011580.937896695] [perception_node]: left=0.27, front=0.34, right=inf, camera_detected=True, camera_pos=center, red_ratio=0.083 -> front_blocked_turn_right_camera_object_center
[INFO] [1777011581.036969049] [perception_node]: left=0.30, front=0.35, right=inf, camera_detected=True, camera_pos=center, red_ratio=0.083 -> front_blocked_turn_right_camera_object_center
[INFO] [1777011581.137036894] [perception_node]: left=0.31, front=0.36, right=inf, camera_detected=True, camera_pos=center, red_ratio=0.083 -> front_blocked_turn_right_camera_object_center
[INFO] [1777011581.239102773] [perception_node]: left=0.24, front=0.22, right=inf, camera_detected=True, camera_pos=center, red_ratio=0.083 -> front_blocked_turn_right_camera_object_center
[INFO] [1777011581.337445162] [perception_node]: left=0.26, front=0.26, right=inf, camera_detected=True, camera_pos=right, red_ratio=0.083 -> front_blocked_turn_right_camera_object_right
[INFO] [1777011581.437906943] [perception_node]: left=0.23, front=0.45, right=inf, camera_detected=True, camera_pos=right, red_ratio=0.083 -> front_blocked_turn_right_camera_object_right
[INFO] [1777011581.537736892] [perception_node]: left=0.21, front=0.55, right=inf, camera_detected=True, camera_pos=right, red_ratio=0.083 -> front_blocked_turn_right_camera_object_right
[INFO] [1777011581.638108431] [perception_node]: left=0.26, front=0.44, right=inf, camera_detected=True, camera_pos=right, red_ratio=0.083 -> front_blocked_turn_right_camera_object_right
[INFO] [1777011581.737281598] [perception_node]: left=0.21, front=0.56, right=inf, camera_detected=True, camera_pos=right, red_ratio=0.083 -> front_blocked_turn_right_camera_object_right
[INFO] [1777011581.838501849] [perception_node]: left=0.22, front=0.35, right=inf, camera_detected=True, camera_pos=right, red_ratio=0.083 -> front_blocked_turn_right_camera_object_right
[INFO] [1777011581.937714742] [perception_node]: left=0.27, front=0.25, right=inf, camera_detected=True, camera_pos=right, red_ratio=0.083 -> front_blocked_turn_right_camera_object_right
[INFO] [1777011582.040397491] [perception_node]: left=0.28, front=0.33, right=inf, camera_detected=True, camera_pos=right, red_ratio=0.083 -> front_blocked_turn_right_camera_object_right
[INFO] [1777011582.138263833] [perception_node]: left=0.24, front=0.23, right=inf, camera_detected=True, camera_pos=right, red_ratio=0.083 -> front_blocked_turn_right_camera_object_right
[INFO] [1777011582.237522837] [perception_node]: left=0.31, front=0.67, right=inf, camera_detected=True, camera_pos=right, red_ratio=0.083 -> front_blocked_turn_right_camera_object_right
[INFO] [1777011582.341797305] [perception_node]: left=0.22, front=0.25, right=inf, camera_detected=True, camera_pos=right, red_ratio=0.083 -> front_blocked_turn_right_camera_object_right
[INFO] [1777011582.437342094] [perception_node]: left=0.22, front=0.36, right=inf, camera_detected=True, camera_pos=right, red_ratio=0.083 -> front_blocked_turn_right_camera_object_right
[INFO] [1777011582.537951015] [perception_node]: left=0.26, front=0.28, right=inf, camera_detected=True, camera_pos=right, red_ratio=0.083 -> front_blocked_turn_right_camera_object_right
[INFO] [1777011582.637456087] [perception_node]: left=0.31, front=0.26, right=inf, camera_detected=True, camera_pos=right, red_ratio=0.083 -> front_blocked_turn_right_camera_object_right
[INFO] [1777011582.738207779] [perception_node]: left=0.26, front=0.24, right=inf, camera_detected=True, camera_pos=right, red_ratio=0.083 -> front_blocked_turn_right_camera_object_right
[INFO] [1777011582.837903855] [perception_node]: left=0.25, front=0.22, right=inf, camera_detected=True, camera_pos=right, red_ratio=0.083 -> front_blocked_turn_right_camera_object_right
[INFO] [1777011582.937908807] [perception_node]: left=0.26, front=0.32, right=inf, camera_detected=True, camera_pos=right, red_ratio=0.083 -> front_blocked_turn_right_camera_object_right
[INFO] [1777011583.037185236] [perception_node]: left=0.25, front=0.30, right=inf, camera_detected=True, camera_pos=right, red_ratio=0.083 -> front_blocked_turn_right_camera_object_right
[INFO] [1777011583.138049554] [perception_node]: left=0.36, front=0.31, right=inf, camera_detected=True, camera_pos=right, red_ratio=0.083 -> front_blocked_turn_right_camera_object_right
[INFO] [1777011583.236980033] [perception_node]: left=0.21, front=0.22, right=inf, camera_detected=True, camera_pos=right, red_ratio=0.083 -> front_blocked_turn_right_camera_object_right
[INFO] [1777011583.337270880] [perception_node]: left=0.34, front=0.29, right=inf, camera_detected=True, camera_pos=right, red_ratio=0.083 -> front_blocked_turn_right_camera_object_right
[INFO] [1777011583.436911997] [perception_node]: left=0.27, front=0.21, right=inf, camera_detected=True, camera_pos=right, red_ratio=0.083 -> front_blocked_turn_right_camera_object_right
[INFO] [1777011583.538928364] [perception_node]: left=0.23, front=0.40, right=inf, camera_detected=True, camera_pos=right, red_ratio=0.083 -> front_blocked_turn_right_camera_object_right
[INFO] [1777011583.637545751] [perception_node]: left=0.29, front=0.27, right=inf, camera_detected=True, camera_pos=right, red_ratio=0.083 -> front_blocked_turn_right_camera_object_right
[INFO] [1777011583.736704208] [perception_node]: left=0.20, front=0.36, right=inf, camera_detected=True, camera_pos=right, red_ratio=0.083 -> front_blocked_turn_right_camera_object_right
[INFO] [1777011583.841273826] [perception_node]: left=0.21, front=0.23, right=inf, camera_detected=True, camera_pos=right, red_ratio=0.083 -> front_blocked_turn_right_camera_object_right
[INFO] [1777011583.936831826] [perception_node]: left=0.34, front=0.43, right=inf, camera_detected=True, camera_pos=right, red_ratio=0.083 -> front_blocked_turn_right_camera_object_right
[INFO] [1777011584.037892025] [perception_node]: left=0.46, front=0.26, right=inf, camera_detected=True, camera_pos=center, red_ratio=0.083 -> front_blocked_turn_right_camera_object_center
[INFO] [1777011584.136570348] [perception_node]: left=0.24, front=0.60, right=inf, camera_detected=True, camera_pos=center, red_ratio=0.083 -> front_blocked_turn_right_camera_object_center
[INFO] [1777011584.237661987] [perception_node]: left=0.28, front=0.24, right=inf, camera_detected=True, camera_pos=center, red_ratio=0.083 -> front_blocked_turn_right_camera_object_center
[INFO] [1777011584.337154482] [perception_node]: left=0.21, front=0.31, right=inf, camera_detected=True, camera_pos=center, red_ratio=0.083 -> front_blocked_turn_right_camera_object_center
