[INFO] [1777011596.741333536] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011596.837477628] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011596.937727068] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011597.037718893] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011597.138801690] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011597.239237297] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011597.337816005] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011597.439020491] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011597.538554866] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011597.638366901] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011597.737582609] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011597.841338344] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011597.937967691] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011598.039805674] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011598.140811062] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011598.237971448] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011598.337205196] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011598.438500701] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011598.537773940] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011598.637352485] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011598.737067097] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011598.839087938] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011598.938073835] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011599.037316259] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011599.138104525] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011599.237841302] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011599.338956510] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011599.437844186] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011599.537224416] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011599.639294916] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011599.737721982] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011599.837560512] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011599.939595975] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011600.037447450] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011600.137391380] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011600.237431339] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011600.338287630] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011600.439026999] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011600.537967419] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011600.637620872] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011600.739465267] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011600.837780444] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011600.937754355] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011601.037743058] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011601.137329779] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011601.243708483] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011601.337064348] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011601.438029134] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011601.537160381] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011601.638554806] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011601.737702424] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011601.839195610] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011601.938766497] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011602.039101451] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011602.138138253] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011602.237386516] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011602.337460869] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011602.437544322] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011602.537215372] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011602.637282346] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011602.738017398] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011602.839898752] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011602.938300247] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011603.038044283] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011603.140909501] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011603.237762473] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011603.338291121] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011603.437810661] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011603.539652886] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011603.640057344] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011603.738115427] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011603.837652327] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011603.938387182] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011604.037627029] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011604.137932127] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011604.239088839] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011604.338440008] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
