[INFO] [1777006593.963636056] [perception_node]: Perception node started
[INFO] [1777006597.247766788] [perception_node]: left=0.27, front=0.26, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006597.256046559] [perception_node]: left=0.43, front=0.24, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006597.328637895] [perception_node]: left=0.26, front=0.26, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006597.346017140] [perception_node]: left=0.50, front=0.25, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006597.356180496] [perception_node]: left=0.22, front=0.45, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006597.429128346] [perception_node]: left=0.22, front=0.35, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006597.445956341] [perception_node]: left=0.43, front=0.23, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006597.456140285] [perception_node]: left=0.23, front=0.44, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006597.528999105] [perception_node]: left=0.23, front=0.29, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006597.546010694] [perception_node]: left=0.24, front=0.24, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006597.556339427] [perception_node]: left=0.28, front=0.20, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006597.628907502] [perception_node]: left=0.31, front=0.47, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006597.646105125] [perception_node]: left=0.36, front=0.24, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006597.655960450] [perception_node]: left=0.23, front=0.72, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006597.728475958] [perception_node]: left=0.27, front=0.21, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006597.746047687] [perception_node]: left=0.71, front=0.23, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006597.756335836] [perception_node]: left=0.26, front=0.41, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006597.828856174] [perception_node]: left=0.33, front=0.22, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006597.846556326] [perception_node]: left=0.25, front=0.21, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006597.856622356] [perception_node]: left=0.41, front=0.41, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006597.930189705] [perception_node]: left=0.43, front=0.20, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006597.946811239] [perception_node]: left=0.27, front=0.58, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006597.956388328] [perception_node]: left=0.38, front=0.51, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006598.029114792] [perception_node]: left=0.35, front=0.54, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006598.046968397] [perception_node]: left=0.31, front=0.31, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006598.056561239] [perception_node]: left=0.20, front=0.23, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006598.129117073] [perception_node]: left=0.31, front=0.77, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006598.145964026] [perception_node]: left=0.44, front=0.37, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006598.156540213] [perception_node]: left=0.21, front=0.25, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006598.229143311] [perception_node]: left=0.24, front=0.34, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006598.246001084] [perception_node]: left=0.38, front=0.48, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006598.256063026] [perception_node]: left=0.25, front=0.36, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006598.329317436] [perception_node]: left=0.28, front=0.25, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006598.346498828] [perception_node]: left=0.38, front=0.37, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006598.356857007] [perception_node]: left=0.24, front=0.26, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006598.428975350] [perception_node]: left=0.32, front=0.26, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006598.446227143] [perception_node]: left=0.33, front=0.37, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006598.456399094] [perception_node]: left=0.26, front=0.20, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006598.530500258] [perception_node]: left=0.23, front=0.53, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006598.547597175] [perception_node]: left=0.22, front=0.29, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006598.556656834] [perception_node]: left=0.25, front=0.25, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006598.629123500] [perception_node]: left=0.29, front=0.21, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006598.646059597] [perception_node]: left=0.22, front=0.59, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006598.656879335] [perception_node]: left=0.27, front=0.23, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006598.728789315] [perception_node]: left=0.21, front=0.61, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006598.746274638] [perception_node]: left=0.35, front=0.40, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006598.756285713] [perception_node]: left=0.21, front=0.60, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006598.828553926] [perception_node]: left=0.21, front=0.34, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006598.846239004] [perception_node]: left=0.21, front=0.52, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006598.856407778] [perception_node]: left=0.27, front=0.23, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006598.928495257] [perception_node]: left=0.37, front=0.31, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006598.946192867] [perception_node]: left=0.24, front=0.24, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006598.956283150] [perception_node]: left=0.20, front=0.38, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006599.028284074] [perception_node]: left=0.46, front=0.31, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006599.046378117] [perception_node]: left=0.21, front=0.26, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006599.056436070] [perception_node]: left=0.22, front=0.30, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006599.128794586] [perception_node]: left=0.47, front=0.20, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006599.146305059] [perception_node]: left=0.22, front=0.85, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006599.156780225] [perception_node]: left=0.33, front=0.21, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006599.228770300] [perception_node]: left=0.31, front=0.26, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006599.246655652] [perception_node]: left=0.22, front=0.26, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006599.256072500] [perception_node]: left=0.26, front=0.31, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006599.331046709] [perception_node]: left=0.31, front=0.30, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006599.347307445] [perception_node]: left=0.26, front=0.23, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006599.356764821] [perception_node]: left=0.33, front=0.22, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006599.428271616] [perception_node]: left=0.20, front=0.23, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006599.446413112] [perception_node]: left=0.30, front=0.22, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006599.456231528] [perception_node]: left=0.23, front=0.38, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006599.528634544] [perception_node]: left=0.20, front=0.29, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006599.546730174] [perception_node]: left=0.22, front=0.23, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006599.555996423] [perception_node]: left=0.23, front=0.22, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006599.628980359] [perception_node]: left=0.67, front=0.29, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006599.646244606] [perception_node]: left=0.24, front=0.25, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006599.656023612] [perception_node]: left=0.21, front=0.26, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006599.729136671] [perception_node]: left=0.35, front=0.26, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006599.745987192] [perception_node]: left=0.23, front=0.37, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006599.756214263] [perception_node]: left=0.21, front=0.23, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006599.829225968] [perception_node]: left=0.25, front=0.26, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006599.846155183] [perception_node]: left=0.28, front=0.40, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006599.856315469] [perception_node]: left=0.33, front=0.59, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006599.928566938] [perception_node]: left=0.27, front=0.34, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006599.946420131] [perception_node]: left=0.27, front=0.21, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006599.956734387] [perception_node]: left=0.22, front=0.51, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006600.028478677] [perception_node]: left=0.37, front=0.20, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006600.046315259] [perception_node]: left=0.28, front=0.38, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006600.056583615] [perception_node]: left=0.25, front=0.54, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
